nct_id,phases,enrollment,enrollment_type,start_date,primary_completion_date,sponsor_class,n_conditions,n_sites,n_countries
NCT01516541,PHASE3,2220,ACTUAL,2012-01,2012-07,INDUSTRY,1,241,13
NCT01521494,PHASE2,183,ACTUAL,2012-01-11,2012-07-03,INDUSTRY,1,1,1
NCT00079794,PHASE2,36,,2001-09,2004-02,NIH,1,1,1
NCT02322866,PHASE3,1034,ACTUAL,2014-12-03,2017-01-12,INDUSTRY,1,57,1
NCT02676466,PHASE2,289,ACTUAL,2016-04-26,2018-06-22,OTHER,1,5,1
NCT02326922,PHASE1|PHASE2,61,ACTUAL,2014-06,2016-02,OTHER,1,1,1
NCT01150422,PHASE3,1500,ESTIMATED,2010-04,2011-04,OTHER,1,4,1
NCT04545151,PHASE2,136,ACTUAL,2021-02-08,2025-04-23,OTHER,1,22,6
NCT05722951,PHASE3,60,ACTUAL,2022-10-18,2024-06-20,OTHER,1,1,1
NCT01309802,PHASE2,48,ACTUAL,2011-05,2016-05-19,OTHER,1,1,1
NCT01013753,PHASE2,198,ACTUAL,2010-02,2011-01,INDUSTRY,1,27,6
NCT00454545,PHASE2,12,ESTIMATED,2006-10,,OTHER,1,1,1
NCT00054145,PHASE2,,,2003-06,2007-04,OTHER,1,4,1
NCT00038545,PHASE2,25,ACTUAL,2001-05-18,2004-04-27,OTHER,1,1,1
NCT00200395,PHASE2,30,ACTUAL,2003-07-02,2007-01-12,OTHER,1,4,1
NCT00110877,PHASE3,604,ACTUAL,2005-04,2007-01,INDUSTRY,1,103,26
NCT02878057,PHASE2,30,ACTUAL,2016-05,2020-09-02,OTHER,1,0,0
NCT00001857,PHASE2,50,,1999-05,,NIH,1,1,1
NCT00000712,PHASE2,400,,,,NIH,1,8,1
NCT00302081,PHASE3,696,ACTUAL,2003-08,2008-04,INDUSTRY,1,0,0
NCT03321981,PHASE2,105,ACTUAL,2018-01-15,2022-10-26,INDUSTRY,1,25,7
NCT00359281,PHASE2,125,ACTUAL,2006-03,2007-11,INDUSTRY,1,1,1
NCT01146119,PHASE2,200,ACTUAL,2010-07,2011-05,INDUSTRY,1,2,1
NCT01861730,PHASE1|PHASE2,243,ACTUAL,2013-07-01,2017-12-22,OTHER,1,4,1
NCT00361530,PHASE3,854,ACTUAL,2004-03,2014-07,OTHER,1,2,1
NCT03043365,PHASE2,37,ACTUAL,2017-06-15,2019-05-29,NIH,3,1,1
NCT05556967,PHASE3,20,ACTUAL,2023-08-09,2023-10-19,OTHER,1,1,1
NCT03744767,PHASE2,20,ACTUAL,2014-09-19,2015-09-22,OTHER,1,0,0
NCT03003000,PHASE3,635,ACTUAL,2016-12-20,2017-09-24,INDUSTRY,2,18,2
NCT00343707,PHASE2,72,ACTUAL,2004-11,2005-11,INDUSTRY,1,1,1
NCT04386707,PHASE3,1300,ACTUAL,2020-05-11,2020-05-11,INDUSTRY,1,4,1
NCT00064207,PHASE2|PHASE3,97,ACTUAL,2003-05,2007-01,NETWORK,1,59,6
NCT01785992,PHASE2,27,ACTUAL,2012-10,2014-12,OTHER,2,9,1
NCT01980992,PHASE1|PHASE2,46,ACTUAL,2013-10,2015-11,OTHER,1,4,1
NCT00947336,PHASE3,110,ACTUAL,2005-04,2008-04,OTHER_GOV,1,1,1
NCT00047736,PHASE3,,,2001-07,,INDUSTRY,1,2,1
NCT03652051,PHASE2,321,ACTUAL,2018-09-10,2022-09-14,INDUSTRY,2,30,3
NCT00807651,PHASE2,40,ACTUAL,2008-02,2016-06,OTHER,1,1,1
NCT03208231,PHASE1|PHASE2,61,ACTUAL,2018-08-06,2020-06-16,NIH,1,7,4
NCT04044131,PHASE2,120,ACTUAL,2019-12-02,2021-03-15,OTHER,2,2,1
NCT03969953,PHASE3,1753,ACTUAL,2021-01-18,2025-10-30,OTHER,3,88,12
NCT04304053,PHASE3,2300,ACTUAL,2020-03-18,2020-06-15,OTHER,1,1,1
NCT03364153,PHASE2,121,ACTUAL,2018-01-12,2025-03-31,INDUSTRY,1,41,8
NCT00742937,PHASE2|PHASE3,239,ACTUAL,2007-07,2008-08,OTHER,2,1,1
NCT03241745,PHASE2,35,ACTUAL,2017-08-03,2024-04-01,OTHER,7,8,1
NCT03470545,PHASE3,251,ACTUAL,2018-05-29,2020-03-14,INDUSTRY,1,71,13
NCT04583995,PHASE3,15185,ACTUAL,2020-09-28,2022-03-29,INDUSTRY,2,33,1
NCT00083239,PHASE2,,,,,INDUSTRY,2,6,1
NCT03020095,PHASE2,38,ACTUAL,2015-08,2016-08,INDUSTRY,1,0,0
NCT07360639,PHASE1|PHASE2,64,ACTUAL,2025-06-01,2025-12-20,OTHER,2,1,1
NCT01601977,PHASE2|PHASE3,10,ACTUAL,2012-05,2013-08,OTHER,2,1,1
NCT03485677,PHASE3,57,ACTUAL,2018-04-11,2025-12-26,INDUSTRY,2,21,10
NCT01072695,PHASE2,46,ACTUAL,2010-02,2010-10,INDUSTRY,1,12,4
NCT01513239,PHASE3,1203,ACTUAL,2012-02-01,2015-05-22,INDUSTRY,1,0,0
NCT04491877,PHASE1|PHASE2,259,ACTUAL,2020-09-17,2023-04-13,INDUSTRY,1,29,3
NCT01299857,PHASE3,22,ACTUAL,2011-06,2011-06,OTHER,1,1,1
